55;Донской государственный технический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
56;Елецкий государственный университет им. И.А. Бунина;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
57;Ивановский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
58;Ивановский государственный химико-технологический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
59;Ивановский государственный энергетический университет имени В.И. Ленина;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
60;Ижевский государственный технический университет имени М.Т. Калашникова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
61;Ингушский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
62;Иркутский национальный исследовательский технический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
63;Иркутский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
64;Кабардино-Балкарский государственный университет им. Х.М. Бербекова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
65;Казанский государственный архитектурно-строительный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
66;Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
67;Казанский национальный исследовательский технологический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
68;Казанский государственный энергетический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
69;Калмыцкий государственный университет имени Б.Б. Городовикова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
70;Калужский государственный университет им. К.Э. Циолковского;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
71;Камчатский государственный университет имени Витуса Беринга;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
72;Северо-Кавказская государственная академия;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
73;Карачаево-Черкесский государственный университет имени У. Д. Алиева;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
74;Кемеровский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
75;Кемеровский технологический институт пищевой промышленности (университет);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
76;Ковровская государственная технологическая академия имени В.А. Дегтярева;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
77;Комсомольский-на-Амуре государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
78;Костромской государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
79;Костромской государственный университет имени Н.А. Некрасова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
80;Красноярский государственный педагогический университет им. В.П. Астафьева;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
81;Кубанский государственный технологический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
82;Кубанский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
83;Кузбасский государственный технический университет имени Т.Ф. Горбачева;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
84;Курганский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
85;Юго-Западный государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
86;Курский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
87;Липецкий государственный педагогический университет имени П.П. Семенова-Тян-Шанского;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
88;Липецкий государственный технический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
89;Магнитогорский государственный технический университет им. Г.И. Носова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
90;Майкопский государственный технологический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
91;Поволжский государственный технологический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
92;Марийский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
93;Мордовский государственный педагогический институт имени М.Е. Евсевьева;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
94;Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
95;Московский государственный университет тонких химических технологий имени М.В. Ломоносова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
96;Московский государственный юридический университет имени О.Е. Кутафина (МГЮА);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
97;Московский авиационный институт (национальный исследовательский университет);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
98;Московский автомобильно-дорожный государственный технический университет (МАДИ);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
99;Московский архитектурный институт (государственная академия);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
100;МИРЭА - Российский технологический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
101;Национальный исследовательский университет «Московский институт электронной техники»;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
102;Московский государственный лингвистический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
103;Московский государственный гуманитарно-экономический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
104;Национальный исследовательский Московский государственный строительный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
105;Московский государственный машиностроительный университет (МАМИ);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
106;Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
107;Московский государственный технологический университет «СТАНКИН»;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
108;Московский государственный университет геодезии и картографии;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
109;Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
110;Московский государственный университет леса;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
111;Московский государственный университет печати имени Ивана Федорова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
112;Московский государственный университет пищевых производств;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
113;Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
114;Московская государственная художественно-промышленная академия им. С.Г. Строганова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
115;Московский педагогический государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
116;Московский физико-технический институт (национальный исследовательский университет);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
117;Национальный исследовательский университет «МЭИ»;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
118;Мурманский арктический государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
119;Набережночелнинский государственный педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
120;Национальный исследовательский ядерный университет «МИФИ»;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
121;Нижегородский государственный архитектурно-строительный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
122;Нижегородский государственный лингвистический университет им. Н.А.Добролюбова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
123;Нижегородский государственный педагогический университет имени Козьмы Минина;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
124;Нижегородский государственный технический университет им. Р.Е. Алексеева;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
125;Нижегородский государственный университет им. Н.И. Лобачевского;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
126;Новгородский государственный университет имени Ярослава Мудрого;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
127;Новосибирский государственный университет архитектуры, дизайна и искусств имени А.Д. Крячкова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
128;Новосибирский государственный архитектурно-строительный университет (Сибстрин);1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
129;Новосибирский государственный педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
130;Новосибирский государственный технический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
131;Новосибирский национальный исследовательский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
132;Новосибирский государственный университет экономики и управления «НИНХ»;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
133;Норильский государственный индустриальный институт;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
134;Омский университет дизайна и технологий;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
135;Омский государственный педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
136;Омский государственный технический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
137;Омский государственный университет им. Ф.М. Достоевского;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
