1;13401;4249;9152;1961;506;10720;2467;9936;24;760;1143;2;506;635;54
2;7257;5087;2170;233;289;7026;;5690;85;1251;647;1;289;357;38
3;11879;6755;5124;748;784;10457;689;8466;1016;975;1721;5;784;932;21
4;14309;6998;7311;1359;659;12199;2510;8547;1170;2482;1775;29;659;1087;83
5;5716;2532;3184;176;256;4768;772;3410;872;486;706;3;256;447;31
6;2881;2008;873;86;117;2795;;2642;0;153;286;0;117;169;16
7;2083;1364;719;5;91;2083;;1845;0;238;230;0;91;139;13
8;6744;3417;3327;263;203;6283;;5319;0;964;412;2;203;207;47
9;15216;6531;8685;2124;586;11574;1363;9837;416;1321;1281;23;586;672;65
10;13994;2129;11865;304;515;11888;4552;7383;2628;1877;955;5;515;435;77
11;6381;6381;0;241;493;6545;;3815;2119;611;1130;96;493;541;27
12;11971;7501;4470;273;397;9980;1718;7963;115;1902;814;0;397;417;94
13;30141;9080;21061;705;1199;27694;1840;21670;1794;4230;2504;36;1199;1269;53
14;15548;6159;9389;1107;702;15533;122;12344;1511;1678;1608;23;702;883;44
15;26114;9876;16238;2796;1132;18242;3583;10090;4973;3179;2419;98;1132;1189;186
16;2733;2305;428;101;64;2632;;2467;0;165;187;4;64;119;12
17;3388;2414;974;185;171;3188;;2813;0;375;441;0;171;270;20
18;0;0;0;0;249;3434;1052;2817;170;447;533;20;249;264;30
19;2510;1484;1026;164;144;2338;8;1929;123;286;353;4;144;205;13
20;7359;4163;3196;352;337;6317;690;4596;890;831;934;36;337;561;20
21;7198;3266;3932;119;297;7079;;5067;681;1331;781;6;297;478;30
22;8313;4001;4312;171;545;7170;871;4987;881;1302;1074;24;545;505;77
23;12971;2807;10164;521;463;8224;4656;7726;70;428;1369;9;463;897;40
24;21288;7968;13320;640;1029;19773;1515;16106;1181;2486;2143;7;1029;1107;157
26;7203;5379;1824;193;440;7010;;5836;58;1116;790;3;440;347;44
27;19908;8934;10974;1255;958;18829;975;16294;914;1621;2498;15;958;1525;56
28;8664;3911;4753;81;513;8156;501;5645;850;1661;1174;17;513;644;50
29;7862;4954;2908;107;490;6896;871;6186;235;475;921;1;490;430;24
30;6242;2356;3886;935;216;5746;497;5098;0;648;502;9;216;277;21
31;7221;3878;3343;419;373;6406;803;4738;577;1091;843;6;373;464;34
33;7559;4001;3558;586;327;6901;;6065;0;836;504;4;327;173;60
34;20717;12892;7825;897;1045;17520;1902;11781;2223;3516;2262;12;1045;1205;92
35;20053;8811;11242;611;1300;17957;766;11829;2403;3725;2759;48;1300;1411;127
36;9050;3974;5076;133;449;7429;1630;5769;719;941;1005;19;449;537;30
37;1320;1320;0;24;102;439;865;358;60;21;292;7;102;183;21
39;21292;8254;13038;366;705;19763;961;15476;1746;2541;1769;22;705;1042;73
40;4882;1368;3514;284;139;3108;1490;2772;25;311;306;3;139;164;20
41;2598;1553;1045;134;94;2148;66;2071;0;77;299;0;94;205;13
42;3270;2696;574;94;195;2659;454;2271;63;325;386;7;195;184;20
46;2210;660;1550;49;63;2123;;1911;0;212;227;3;63;161;11
47;1042;850;192;280;76;682;;453;0;229;397;5;76;316;5
48;17410;9376;8034;3345;839;11408;1396;7276;2170;1962;2921;122;839;1960;50
49;10350;3043;7307;558;490;9608;;8026;0;1582;911;0;490;421;83
50;10092;5738;4354;58;416;7583;2472;5786;1101;696;604;28;416;160;187
51;10007;7475;2532;361;429;9785;;8189;83;1513;719;0;429;290;264
52;6098;4456;1642;511;276;4080;120;3001;355;724;606;4;276;326;62
53;15788;6697;9091;292;902;13547;2239;10904;579;2064;1853;12;902;939;384
54;2860;1802;1058;76;107;2017;762;1569;86;362;290;2;107;181;13
55;47318;21643;25675;2217;1978;40420;4323;31647;2874;5899;4745;52;1978;2715;173
56;4439;3402;1037;62;258;3755;556;2986;3;766;443;2;258;183;30
57;5587;2505;3082;544;331;5043;;4292;49;702;814;15;331;468;20
