82;Кубанский государственный университет; 45 545,60   ; 9 723,79   ; 35 821,81   ;
83;Кузбасский государственный технический университет имени Т.Ф. Горбачева; 31 344,20   ; 5 509,51   ; 25 834,69   ;
84;Курганский государственный университет; 32 708,97   ; 11 062,37   ; 21 646,60   ;
85;Юго0Западный государственный университет; 103 442,20   ; 2 415,56   ; 101 026,64   ;
86;Курский государственный университет; 12 468,00   ; 3 349,54   ; 9 118,46   ;
88;Липецкий государственный технический университет; 30 815,02   ; 8 968,22   ; 21 846,80   ;
90;Майкопский государственный технологический университет; 11 648,30   ; 0     ; 11 648,30   ;
91;Поволжский государственный технологический университет; 22 641,30   ; 14 347,83   ; 8 293,47   ;
92;Марийский государственный университет; 97 256,70   ; 43 319,01   ; 53 937,69   ;
94;Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва; 32 318,10   ; 32 280,41   ; 37,69   ;
97;Московский авиационный институт (национальный исследовательский университет); 84 989,40   ; 17 060,95   ; 67 928,45   ;
98;Московский автомобильно0дорожный государственный технический университет (МАДИ); 29 695,60   ; 27 946,00   ; 1 749,60   ;
99;Московский архитектурный институт (государственная академия); 50 579,30   ; 2 360,79   ; 48 218,51   ;
100;МИРЭА 0 Российский технологический университет; 181 586,70   ; 99 809,34   ; 81 777,36   ;
101;Национальный исследовательский университет «Московский институт электронной техники»; 0     ; 0     ; 0     ;
102;Московский государственный лингвистический университет; 50 579,30   ; 360,21   ; 50 219,09   ;
104;Национальный исследовательский Московский государственный строительный университет; 58 859,50   ; 29 614,70   ; 29 244,80   ;
107;Московский государственный технологический университет «СТАНКИН»; 25 550,70   ; 25 550,67   ; 0     ;
108;Московский государственный университет геодезии и картографии; 13 486,30   ; 5 918,93   ; 7 567,37   ;
109;Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство); 116 395,90   ; 56 565,70   ; 59 830,20   ;
112;Московский государственный университет пищевых производств; 43 938,30   ; 19 801,10   ; 24 137,20   ;
113;Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет); 10 923,50   ; 10 923,50   ; 0     ;
114;Московская государственная художественно0промышленная академия им. С.Г. Строганова; 10 000,00   ; 10 000,00   ; 0     ;
116;Московский физико0технический институт (национальный исследовательский университет); 121 283,00   ; 14 696,39   ; 106 586,61   ;
117;Национальный исследовательский университет «МЭИ»; 203 795,50   ; 18 383,92   ; 185 411,58   ;
118;Мурманский арктический государственный университет; 10 951,30   ; 437,69   ; 10 513,61   ;
120;Национальный исследовательский ядерный университет «МИФИ»; 154 739,40   ; 8 776,13   ; 145 963,27   ;
121;Нижегородский государственный архитектурно0строительный университет; 177 848,90   ; 4 137,27   ; 173 711,63   ;
122;Нижегородский государственный лингвистический университет им. Н.А.Добролюбова; 0     ; 0     ; 0     ;
125;Нижегородский государственный университет им. Н.И. Лобачевского; 37 557,40   ; 23 307,31   ; 14 250,09   ;
126;Новгородский государственный университет имени Ярослава Мудрого; 19 512,10   ; 13 394,85   ; 6 117,25   ;
127;Новосибирский государственный университет архитектуры. дизайна и искусств имени А.Д. Крячкова; 11 611,20   ; 6 630,92   ; 4 980,28   ;
128;Новосибирский государственный архитектурно0строительный университет (Сибстрин); 33 637,40   ; 20 101,59   ; 13 535,81   ;
130;Новосибирский государственный технический университет; 43 211,30   ; 43 211,30   ; 0     ;
132;Новосибирский государственный университет экономики и управления «НИНХ»; 10 000,00   ; 149,89   ; 9 850,11   ;
133;Норильский государственный индустриальный институт; 10 000,00   ; 6 453,95   ; 3 546,05   ;
136;Омский государственный технический университет; 46 270,80   ; 5 601,19   ; 40 669,61   ;
137;Омский государственный университет им. Ф.М. Достоевского; 15 691,70   ; 7 288,97   ; 8 402,73   ;
139;Оренбургский государственный университет; 32 444,40   ; 3 237,19   ; 29 207,21   ;
142;Орловский государственный университет имени И.С. Тургенева; 35 088,50   ; 17 764,73   ; 17 323,77   ;
143;Пензенский государственный технологический университет; 10 000,00   ; 6 113,25   ; 3 886,75   ;
144;Пензенский государственный университет; 29 347,00   ; 9 234,73   ; 20 112,28   ;
145;Пензенский государственный университет архитектуры и строительства; 14 040,90   ; 14 040,90   ; 0,00   ;
147;Пермский национальный исследовательский политехнический университет; 47 095,80   ; 1 038,94   ; 46 056,86   ;
148;Пермский государственный национальный исследовательский университет; 139 707,00   ; 31 725,11   ; 107 981,89   ;
149;Петрозаводский государственный университет; 130 373,10   ;; 130 373,10   ;
151;Поволжский государственный университет сервиса; 9 913,70   ; 881,72   ; 9 031,98   ;
152;Пущинский государственный естественно0научный институт; 50 579,30   ; 192,37   ; 50 386,93   ;
153;Пятигорский государственный университет; 32 623,50   ; 15 164,53   ; 17 458,97   ;
154;Российский экономический университет имени Г.В. Плеханова; 35 137,60   ; 9 916,77   ; 25 220,83   ;
